image_id,image_path,label,xmin,ymin,xmax,ymax,age,gender,confidence,source
1498,images/img_01498.jpg,phone,303,61,424,86,,,0.96,synthetic_dataset
241,images/img_00241.jpg,mouse,5,61,202,140,,,0.99,synthetic_dataset
348,images/img_00348.jpg,bottle,357,57,488,169,,,0.9,synthetic_dataset
204,images/img_00204.jpg,cup,199,85,252,217,,,0.94,synthetic_dataset
1752,images/img_01752.jpg,bottle,240,21,436,214,,,0.98,synthetic_dataset
1528,images/img_01528.jpg,laptop,194,172,390,303,,,0.86,synthetic_dataset
1,images/img_00001.jpg,face,279,132,307,304,54,female,0.97,synthetic_dataset
1554,images/img_01554.jpg,book,279,85,470,234,,,0.93,synthetic_dataset
1981,images/img_01981.jpg,mouse,139,169,241,218,,,0.91,synthetic_dataset
1374,images/img_01374.jpg,cup,100,193,262,275,,,0.99,synthetic_dataset
783,images/img_00783.jpg,cup,90,99,237,201,,,0.95,synthetic_dataset
231,images/img_00231.jpg,book,376,254,443,412,,,0.97,synthetic_dataset
102,images/img_00102.jpg,phone,237,221,351,366,,,0.97,synthetic_dataset
178,images/img_00178.jpg,keyboard,185,355,367,545,,,0.92,synthetic_dataset
781,images/img_00781.jpg,face,98,32,266,80,60,male,0.93,synthetic_dataset
438,images/img_00438.jpg,hand,99,44,296,157,,,0.97,synthetic_dataset
1512,images/img_01512.jpg,mouse,288,228,437,386,,,0.95,synthetic_dataset
389,images/img_00389.jpg,mouse,161,353,335,417,,,0.98,synthetic_dataset
1870,images/img_01870.jpg,keyboard,248,362,288,431,,,0.97,synthetic_dataset
1063,images/img_01063.jpg,person,230,56,363,133,,,0.94,synthetic_dataset
1683,images/img_01683.jpg,person,139,316,163,477,,,0.86,synthetic_dataset
661,images/img_00661.jpg,person,64,358,156,475,,,0.92,synthetic_dataset
1457,images/img_01457.jpg,mouse,178,74,254,148,,,0.95,synthetic_dataset
712,images/img_00712.jpg,person,315,8,362,107,,,0.99,synthetic_dataset
1984,images/img_01984.jpg,keyboard,70,114,226,273,,,0.94,synthetic_dataset
1570,images/img_01570.jpg,book,288,399,476,436,,,0.86,synthetic_dataset
1025,images/img_01025.jpg,person,161,84,255,214,,,0.88,synthetic_dataset
647,images/img_00647.jpg,book,187,142,338,203,,,0.91,synthetic_dataset
823,images/img_00823.jpg,face,81,23,158,110,64,male,0.88,synthetic_dataset
405,images/img_00405.jpg,laptop,25,40,194,159,,,0.99,synthetic_dataset
659,images/img_00659.jpg,hand,151,104,217,128,,,1.0,synthetic_dataset
382,images/img_00382.jpg,face,267,115,388,273,50,female,0.98,synthetic_dataset
1088,images/img_01088.jpg,book,95,104,130,292,,,0.91,synthetic_dataset
559,images/img_00559.jpg,hand,272,79,393,131,,,0.87,synthetic_dataset
663,images/img_00663.jpg,phone,193,6,365,56,,,0.94,synthetic_dataset
1959,images/img_01959.jpg,keyboard,389,135,463,228,,,0.9,synthetic_dataset
994,images/img_00994.jpg,bottle,248,165,284,199,,,0.95,synthetic_dataset
185,images/img_00185.jpg,book,48,213,83,246,,,0.96,synthetic_dataset
621,images/img_00621.jpg,bottle,257,82,406,192,,,0.97,synthetic_dataset
77,images/img_00077.jpg,book,316,114,466,222,,,0.98,synthetic_dataset
670,images/img_00670.jpg,face,393,143,429,259,7,female,0.97,synthetic_dataset
1869,images/img_01869.jpg,person,228,363,251,405,,,0.96,synthetic_dataset
1413,images/img_01413.jpg,cup,15,12,162,62,,,0.86,synthetic_dataset
349,images/img_00349.jpg,mouse,242,367,294,485,,,0.9,synthetic_dataset
221,images/img_00221.jpg,bottle,290,34,383,194,,,0.95,synthetic_dataset
34,images/img_00034.jpg,keyboard,344,326,482,371,,,0.94,synthetic_dataset
1190,images/img_01190.jpg,face,183,49,271,103,43,male,0.86,synthetic_dataset
977,images/img_00977.jpg,laptop,374,361,491,500,,,0.88,synthetic_dataset
1769,images/img_01769.jpg,mouse,292,207,419,240,,,0.87,synthetic_dataset
99,images/img_00099.jpg,mouse,126,261,225,419,,,0.91,synthetic_dataset
1276,images/img_01276.jpg,cup,72,377,141,539,,,0.89,synthetic_dataset
818,images/img_00818.jpg,book,59,216,128,244,,,0.9,synthetic_dataset
533,images/img_00533.jpg,hand,171,374,261,436,,,0.93,synthetic_dataset
